pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150.0,z,,,,,2,1,9,3,271.5734801670005,272.5737416669999,272.5737416669999,272.5737416669999,272.5737416669999,272.5737416669999,273.5742171669999,273.5742171669999,z,1,0.9947154989995397,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,2,2,10,1,274.59093462500005,275.5904931670002,275.5904931670002,275.5904931670002,275.5904931670002,275.6068881250003,276.59025733399994,276.59025733399994,v,1,0.468363416000102,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,2,3,11,0,277.0901884590003,278.09072916700006,278.09072916700006,278.09072916700006,278.09072916700006,278.09072916700006,279.09021841699996,279.09021841699996,x,1,0.8601659989999462,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,3,0,12,0,279.9737381249997,280.9734937920002,280.9734937920002,280.9734937920002,280.9734937920002,280.9734937920002,281.97412841700043,281.97412841700043,x,1,0.49237479100065684,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,3,1,13,2,282.4903980420004,283.49042533400007,283.49042533400007,283.49042533400007,283.49042533400007,283.49042533400007,284.4907427090002,284.4907427090002,c,1,0.3594159579997722,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,,,,,3,2,14,3,284.8734709999999,285.8738682920002,285.8738682920002,285.8738682920002,285.8738682920002,285.8738682920002,286.873893084,286.873893084,z,1,0.5907591239993053,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,3,3,15,1,287.4908107500005,288.4910006250002,288.4910006250002,288.4910006250002,288.4910006250002,288.4910006250002,289.4903493339998,289.4903493339998,v,1,0.7317617909993714,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,,,,,4,0,16,2,290.2407343340001,291.2414119169998,291.2414119169998,291.2414119169998,291.2414119169998,291.2414119169998,292.2404964590005,292.2404964590005,c,1,0.8651204990001133,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,,,,,4,1,17,1,293.1241847500005,294.12422566700025,294.12422566700025,294.12422566700025,294.12422566700025,294.12422566700025,295.124435834,295.124435834,v,1,0.7041463739997198,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,,,,,4,2,18,0,295.8570252919999,296.85720500000025,296.85720500000025,296.85720500000025,296.85720500000025,296.85720500000025,297.85740474999966,297.85740474999966,x,1,0.595192791000045,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
